title,description,duration,category,price,time,activity
Heritage Discovery Journey,Explore AlUla’s rich historical landmarks through guided cultural experiences.,Full Day,Heritage,250,09:00,Old Town Walking Tour
Heritage Discovery Journey,Explore AlUla’s rich historical landmarks through guided cultural experiences.,Full Day,Heritage,250,11:00,Dadan Archaeological Site
Heritage Discovery Journey,Explore AlUla’s rich historical landmarks through guided cultural experiences.,Full Day,Heritage,250,13:00,Lunch Break
Heritage Discovery Journey,Explore AlUla’s rich historical landmarks through guided cultural experiences.,Full Day,Heritage,250,15:00,Hegra Heritage Site

Desert Adventure Experience,Experience thrilling desert activities and breathtaking landscapes.,Half Day,Adventure,180,08:00,ATV Desert Ride
Desert Adventure Experience,Experience thrilling desert activities and breathtaking landscapes.,Half Day,Adventure,180,09:30,Sandboarding Session
Desert Adventure Experience,Experience thrilling desert activities and breathtaking landscapes.,Half Day,Adventure,180,11:00,Mountain Hiking

Nature Escape Retreat,Relax in AlUla’s peaceful natural scenery and oasis environment.,Half Day,Nature,150,07:30,Oasis Visit
Nature Escape Retreat,Relax in AlUla’s peaceful natural scenery and oasis environment.,Half Day,Nature,150,09:00,Bird Watching
Nature Escape Retreat,Relax in AlUla’s peaceful natural scenery and oasis environment.,Half Day,Nature,150,10:30,Nature Photography Stop

Ancient Kingdom Trail,Discover the legacy of ancient civilizations and hidden tombs.,Full Day,Heritage,300,08:30,Hegra Guided Tour
Ancient Kingdom Trail,Discover the legacy of ancient civilizations and hidden tombs.,Full Day,Heritage,300,11:00,Jabal AlBanat Visit
Ancient Kingdom Trail,Discover the legacy of ancient civilizations and hidden tombs.,Full Day,Heritage,300,13:30,Traditional Lunch
Ancient Kingdom Trail,Discover the legacy of ancient civilizations and hidden tombs.,Full Day,Heritage,300,15:00,Nabataean History Session

Canyon Adventure Tour,Enjoy outdoor adventures across AlUla’s canyons and rocky terrain.,Half Day,Adventure,220,08:00,Canyon Hiking
Canyon Adventure Tour,Enjoy outdoor adventures across AlUla’s canyons and rocky terrain.,Half Day,Adventure,220,10:00,Rock Climbing
Canyon Adventure Tour,Enjoy outdoor adventures across AlUla’s canyons and rocky terrain.,Half Day,Adventure,220,11:30,Desert Camp Break

Golden Oasis Journey,Experience calm landscapes and authentic oasis culture.,Full Day,Nature,210,08:30,Palm Oasis Walk
Golden Oasis Journey,Experience calm landscapes and authentic oasis culture.,Full Day,Nature,210,10:00,Local Farm Visit
Golden Oasis Journey,Experience calm landscapes and authentic oasis culture.,Full Day,Nature,210,12:00,Traditional Lunch
Golden Oasis Journey,Experience calm landscapes and authentic oasis culture.,Full Day,Nature,210,14:00,Sunset Viewpoint
